,NFLX,PEP,AXP
2022-01-04,-0.010412258322256118,0.0014452538222615718,0.03210269116551445
2022-01-05,-0.03997294072047808,0.003405943608101758,-0.010656103317848387
2022-01-06,-0.025074078471557182,0.00023008448077099786,0.0066371648003462624
2022-01-07,-0.022104106263326484,0.0012653929594546032,0.008559925035128702
2022-01-10,-0.002236391487295708,0.0005169826340993833,-0.0036701420560145692
2022-01-11,0.0018339377869873719,-0.0004593318705617966,0.009439388383770675
2022-01-12,-0.006693395408234326,-0.0010914035579475678,-0.005188753773370136
2022-01-13,-0.03354297955920893,0.0016101137959989575,-0.006763385833176039
2022-01-14,0.012499980897125118,0.008382172323229131,-0.02821859068096433
2022-01-18,-0.0283247057758097,-0.009564977690840637,-0.013242255394081748
2022-01-19,0.009906025214402758,0.007185559621505577,-0.028765714821980315
2022-01-20,-0.014752036536379576,-0.007248468830521548,-0.00291220783493773
2022-01-21,-0.21790457452041323,0.0016097434481248118,-0.01354705879062057
2022-01-24,-0.02603775120381291,-0.0051084799874440145,0.0011968450046788703
2022-01-25,-0.053545087938946856,-0.011481021589694107,0.08922172395425498
2022-01-26,-0.01833961294264419,-0.010563777269052554,0.012766487817428951
2022-01-27,0.07506254957939706,-0.0009438073689700399,-0.019507262633235878
2022-01-28,-0.006051271739334618,0.019483988586493917,0.030017474376506703
2022-01-31,0.1113019849289083,0.004922720290319038,0.01558799166204472
2022-02-01,0.07021114671042605,-0.006800414393244636,0.02068727511064372
2022-02-02,-0.060486062172997346,0.018161801957311097,0.0033780668990761598
2022-02-03,-0.05560213344497811,-0.0005699327681080169,-0.0006516636272269061
2022-02-04,0.011267276270830351,-0.016422362457722217,0.009834888521043972
2022-02-07,-0.01967478621067109,-0.003942303396803237,0.010868920889605782
2022-02-08,0.003556311002425483,0.0012223195206995108,0.03262897238587148
2022-02-09,0.023195340860543867,-0.00046507283494756635,0.01237110255919771
2022-02-10,-0.016033387584832637,-0.020763099183015,-0.004531565261236881
2022-02-11,-0.03682278253286064,0.00124729298543369,-0.018924848100861813
2022-02-14,0.01344205309969726,-0.011152004166523732,0.0028153305447851107
2022-02-15,0.027460433037630683,-0.00443905367679609,0.029269505824676578
2022-02-16,-0.023020677071423967,0.0020486642813699607,0.002020452388654004
2022-02-17,-0.028662513890182595,0.0027059346962376996,-0.01345900848486492
2022-02-18,0.011948159817805282,0.005757161702351965,-0.004240977990809469
2022-02-22,-0.03554908982684246,0.003816107352141218,-0.012520537665593245
2022-02-23,-0.026286536910758773,-0.009860431255872215,-0.018135551075077028
2022-02-24,0.061421672696517104,-0.01739761901013126,-0.0031753948368198337
2022-02-25,0.0019741789505467455,0.02802376082073077,0.028457660932624362
2022-02-28,0.00951893893782274,-0.02755671252579983,0.004284686095187729
2022-03-01,-0.020987526639644982,-0.008977654643870792,-0.08471263645671046
2022-03-02,-0.01607806444721016,0.013865778891717584,0.012636190221555044
2022-03-03,-0.03147117725836146,-0.0075978602451887145,-0.0023293116002002234
2022-03-04,-0.017224974085720546,0.015189536734503406,-0.038579145394146974
2022-03-07,-0.031708735444504366,-0.019909520674255332,-0.07990744324537646
2022-03-08,-0.02426768618457964,-0.028193302044283275,0.005781424877243202
2022-03-09,0.049830285266482255,-0.002977140908595355,0.05373315014524205
2022-03-10,-0.005630088584245185,-0.018360860874931606,0.00563304026927125
2022-03-11,-0.04610808699165203,-0.005048209222882072,-0.010023656520352087
2022-03-14,-0.02735659778510824,0.014050632421389153,0.02912447627998893
2022-03-15,0.03848823255645861,0.019949968712092314,0.018808959582619744
2022-03-16,0.04008726917613625,0.004402496529825051,0.025960051684339236
2022-03-17,0.038793933836442696,0.007764593092421501,0.03521400027052013
2022-03-18,0.024771169515946267,0.011494910007846526,0.020056693456258934
2022-03-21,-0.015790881947569946,-0.0014128370110243482,-0.008546585949977259
2022-03-22,0.022237692333699766,0.010949795804809037,0.011846240079043335
2022-03-23,-0.02201510210421609,-0.005233057256392781,-0.027753083718059512
2022-03-24,0.003257767236821474,0.00605582040027719,0.01542842195070504
2022-03-25,-0.004950587937145423,0.004681730812585494,0.0073587770349932136
2022-03-28,0.012464901928660232,0.0029653244861169714,-0.003048149226274832
2022-03-29,0.03516418909723251,0.014843460914048645,0.006536665857208135
2022-03-30,-0.026415205732338576,-0.0013674756180539482,-0.006179993293612851
2022-03-31,-0.018035507014434904,-0.0034532139073009116,-0.014544659500064006
2022-04-01,-0.002989922657136934,0.014219079666593082,0.0009090811173546598
2022-04-04,0.04827696661141467,-0.002591819020113517,0.0026179702834734364
2022-04-05,-0.028991075615620976,0.0010630325300930998,-0.012043108395618729
2022-04-06,-0.03104034718512161,0.017050143891731206,-0.009115357272130087
2022-04-07,-0.016831850425676143,0.0009281493281272368,-0.007185277208522911
2022-04-08,-0.017313237938267223,0.0033613550900992717,0.007182397954808684
2022-04-11,-0.022142308572259628,-0.0030612762915106506,-0.03336956845867867
2022-04-12,-0.011206879012886084,0.004055602105960343,-0.011432189865146603
2022-04-13,0.01839577582094365,-0.0017311197142230172,0.023071682845266173
