,Fecha,Brent,Oro,DJ,SP500,TRM
0,2022-01-03,78.9800033569336,1799.4000244140625,36585.05859375,4796.56005859375,4063.580078125
1,2022-01-04,80.0,1814.0,36799.6484375,4793.5400390625,4063.080078125
2,2022-01-05,80.80000305175781,1824.5999755859373,36407.109375,4700.580078125,4078.550048828125
3,2022-01-06,81.98999786376953,1788.699951171875,36236.46875,4696.0498046875,4026.919921875
4,2022-01-07,81.75,1797.0,36231.66015625,4677.02978515625,4030.919921875
5,2022-01-10,80.87000274658203,1798.4000244140625,36068.87109375,4670.2900390625,3970.704833984375
6,2022-01-11,83.72000122070312,1818.5999755859373,36252.01953125,4713.06982421875,4048.2900390625
7,2022-01-12,84.66999816894531,1827.199951171875,36290.3203125,4726.35009765625,3993.18994140625
8,2022-01-13,84.47000122070312,1821.199951171875,36113.62109375,4659.02978515625,3977.419921875
9,2022-01-14,86.05999755859375,1816.5,35911.80859375,4662.85009765625,3965.35009765625
10,2022-01-18,87.51000213623047,1812.300048828125,35368.46875,4577.10986328125,4005.2099609375
11,2022-01-19,88.44000244140625,1843.0999755859373,35028.6484375,4532.759765625,4035.550048828125
12,2022-01-20,88.37999725341797,1842.5,34715.390625,4482.72998046875,3992.320068359375
13,2022-01-21,87.88999938964844,1831.800048828125,34265.37109375,4397.93994140625,3973.75
14,2022-01-24,86.2699966430664,1841.699951171875,34364.5,4410.1298828125,3954.7099609375
15,2022-01-25,88.19999694824219,1852.699951171875,34297.73046875,4356.4501953125,3974.080078125
16,2022-01-26,89.95999908447266,1829.9000244140625,34168.08984375,4349.93017578125,3966.39990234375
17,2022-01-27,89.33999633789062,1793.300048828125,34160.78125,4326.509765625,3928.25
18,2022-01-28,90.02999877929688,1784.9000244140625,34725.46875,4431.85009765625,3961.260009765625
19,2022-01-31,91.20999908447266,1795.0,35131.859375,4515.5498046875,3912.49755859375
20,2022-02-01,91.29000091552734,1800.300048828125,35405.23828125,4546.5400390625,3941.27001953125
21,2022-02-02,89.47000122070312,1809.199951171875,35629.328125,4589.3798828125,3922.090087890625
22,2022-02-03,91.11000061035156,1803.0,35111.16015625,4477.43994140625,3931.929931640625
23,2022-02-04,93.2699966430664,1806.5999755859373,35089.73828125,4500.52978515625,3952.8701171875
24,2022-02-07,92.69000244140624,1820.5999755859373,35091.12890625,4483.8701171875,3954.7900390625
25,2022-02-08,90.77999877929688,1826.5999755859373,35462.78125,4521.5400390625,3963.489990234375
26,2022-02-09,91.5500030517578,1835.199951171875,35768.05859375,4587.18017578125,3952.1298828125
27,2022-02-10,91.41000366210938,1836.199951171875,35241.58984375,4504.080078125,3933.39990234375
28,2022-02-11,94.44000244140624,1840.800048828125,34738.05859375,4418.64013671875,3917.090087890625
29,2022-02-14,96.4800033569336,1868.0,34566.171875,4401.669921875,3895.65869140625
30,2022-02-15,93.27999877929688,1854.800048828125,34988.83984375,4471.06982421875,3942.669921875
31,2022-02-16,94.80999755859376,1870.199951171875,34934.26953125,4475.009765625,3948.580078125
32,2022-02-17,92.97000122070312,1900.699951171875,34312.03125,4380.259765625,3962.68994140625
33,2022-02-18,93.54000091552734,1898.5999755859373,34079.1796875,4348.8701171875,3942.75
34,2022-02-22,96.83999633789062,1906.0999755859373,33596.609375,4304.759765625,3932.199951171875
35,2022-02-23,96.83999633789062,1909.199951171875,33131.76171875,4225.5,3927.919921875
36,2022-02-24,99.08000183105467,1925.0999755859373,33223.828125,4288.7001953125,3911.090087890625
37,2022-02-25,97.93000030517578,1886.5,34058.75,4384.64990234375,3924.75
38,2022-02-28,100.98999786376952,1899.4000244140625,33892.6015625,4373.93994140625,3853.7451171875
39,2022-03-01,100.8499984741211,1942.4000244140625,33294.94921875,4306.259765625,3925.919921875
40,2022-03-02,112.93000030517578,1920.9000244140625,33891.3515625,4386.5400390625,3880.919921875
41,2022-03-03,110.45999908447266,1934.4000244140625,33794.66015625,4363.490234375,3845.919921875
42,2022-03-04,118.11000061035156,1965.0999755859373,33614.80078125,4328.8701171875,3757.699951171875
43,2022-03-07,123.20999908447266,1993.9000244140625,32817.37890625,4201.08984375,3731.724609375
44,2022-03-08,127.9800033569336,2040.0999755859373,32632.640625,4170.7001953125,3808.75
45,2022-03-09,111.13999938964844,1985.9000244140625,33286.25,4277.8798828125,3771.1201171875
46,2022-03-10,109.33000183105467,1998.0999755859373,33174.0703125,4259.52001953125,3739.75
47,2022-03-11,112.66999816894533,1982.699951171875,32944.19140625,4204.31005859375,3816.919921875
48,2022-03-14,106.9000015258789,1959.5999755859373,32945.23828125,4173.10986328125,3817.590087890625
49,2022-03-15,99.91000366210938,1928.5,33544.33984375,4262.4501953125,3795.320068359375
50,2022-03-16,98.0199966430664,1908.0,34063.1015625,4357.85986328125,3830.919921875
51,2022-03-17,106.63999938964844,1942.0999755859373,34480.76171875,4411.669921875,3832.570068359375
52,2022-03-18,107.93000030517578,1928.199951171875,34754.9296875,4463.1201171875,3817.919921875
53,2022-03-21,115.62000274658205,1928.5999755859373,34552.98828125,4461.18017578125,3818.090087890625
54,2022-03-22,115.4800033569336,1920.699951171875,34807.4609375,4511.60986328125,3803.75
55,2022-03-23,121.5999984741211,1936.5999755859373,34358.5,4456.240234375,3763.590087890625
56,2022-03-24,119.02999877929688,1961.5999755859373,34707.94140625,4520.16015625,3768.919921875
57,2022-03-25,120.6500015258789,1953.800048828125,34861.23828125,4543.06005859375,3785.919921875
58,2022-03-28,112.4800033569336,1939.5999755859373,34955.890625,4575.52001953125,3792.909912109375
59,2022-03-29,110.2300033569336,1912.0,35294.19140625,4631.60009765625,3781.389892578125
60,2022-03-30,113.4499969482422,1933.5,35228.80859375,4602.4501953125,3760.02001953125
61,2022-03-31,107.91000366210938,1949.199951171875,34678.3515625,4530.41015625,3749.389892578125
62,2022-04-01,107.66999816894533,1919.0999755859373,34818.26953125,4545.85986328125,3764.090087890625
63,2022-04-04,107.52999877929688,1929.199951171875,34921.87890625,4582.64013671875,3747.31005859375
64,2022-04-05,106.63999938964844,1922.9000244140625,34641.1796875,4525.1201171875,3702.75
65,2022-04-06,101.06999969482422,1918.4000244140625,34496.51171875,4481.14990234375,3731.219970703125
66,2022-04-07,100.58000183105467,1933.800048828125,34583.5703125,4500.2099609375,3745.919921875
67,2022-04-08,102.77999877929688,1941.5999755859373,34721.12109375,4488.27978515625,3757.550048828125
68,2022-04-11,98.4800033569336,1944.300048828125,34308.078125,4412.52978515625,3755.260009765625
69,2022-04-12,104.63999938964844,1972.0999755859373,34220.359375,4397.4501953125,3740.919921875
70,2022-04-13,108.77999877929688,1981.0,34564.58984375,4446.58984375,3748.469970703125
71,2022-04-14,111.6999969482422,1970.9000244140625,34451.23046875,4392.58984375,3720.919921875
72,2022-04-18,113.16000366210938,1982.9000244140625,34411.69140625,4391.68994140625,3721.260009765625
73,2022-04-19,107.25,1955.699951171875,34911.19921875,4462.2099609375,3730.25
74,2022-04-20,106.8000030517578,1952.300048828125,35160.7890625,4459.4501953125,3747.25
75,2022-04-21,108.33000183105467,1944.9000244140625,34792.76171875,4393.66015625,3756.85009765625
76,2022-04-22,106.6500015258789,1931.0,33811.3984375,4271.77978515625,3774.3701171875
77,2022-04-25,102.31999969482422,1893.199951171875,34049.4609375,4296.1201171875,3854.260009765625
78,2022-04-26,104.98999786376952,1901.4000244140625,33240.1796875,4175.2001953125,3934.75
79,2022-04-27,105.31999969482422,1885.9000244140625,33301.9296875,4183.9599609375,3941.5400390625
80,2022-04-28,107.58999633789062,1888.699951171875,33916.390625,4287.5,3960.580078125
81,2022-04-29,109.33999633789062,1909.300048828125,32977.2109375,4131.93017578125,3971.550048828125
82,2022-05-02,109.36000061035156,1861.800048828125,33061.5,4155.3798828125,3956.25
83,2022-05-03,104.97000122070312,1868.800048828125,33128.7890625,4175.47998046875,3999.570068359375
84,2022-05-04,110.13999938964844,1867.0,34061.05859375,4300.169921875,4023.919921875
85,2022-05-05,110.9000015258789,1874.0,32997.96875,4146.8701171875,4067.419921875
86,2022-05-06,112.38999938964844,1881.199951171875,32899.37109375,4123.33984375,4089.580078125
87,2022-05-09,105.94000244140624,1857.0999755859373,32245.69921875,3991.239990234375,4056.0
88,2022-05-10,102.45999908447266,1839.9000244140625,32160.740234375,4001.050048828125,4085.580078125
89,2022-05-11,107.51000213623048,1852.5999755859373,31834.109375,3935.179931640625,4080.25
90,2022-05-12,107.4499969482422,1823.800048828125,31730.30078125,3930.080078125,4080.25
91,2022-05-13,111.5500030517578,1807.4000244140625,32196.66015625,4023.889892578125,4108.740234375
92,2022-05-16,114.23999786376952,1813.5,32223.419921875,4008.010009765625,4108.75
93,2022-05-17,111.93000030517578,1818.199951171875,32654.58984375,4088.85009765625,4055.25
94,2022-05-18,109.11000061035156,1815.9000244140625,31490.0703125,3923.679931640625,4032.580078125
95,2022-05-19,112.04000091552734,1841.199951171875,31253.130859375,3900.7900390625,4067.219970703125
96,2022-05-20,112.5500030517578,1841.800048828125,31261.900390625,3901.360107421875,4048.72998046875
97,2022-05-23,113.41999816894533,1847.800048828125,31880.240234375,3973.75,3970.25
98,2022-05-24,113.55999755859376,1865.0999755859373,31928.619140625,3941.47998046875,3961.580078125
99,2022-05-25,114.02999877929688,1846.199951171875,32120.279296875,3978.72998046875,3976.300048828125
100,2022-05-26,117.4000015258789,1847.4000244140625,32637.189453125,4057.840087890625,3939.47998046875
101,2022-05-27,119.43000030517578,1851.300048828125,33212.9609375,4158.240234375,3923.75
102,2022-05-31,122.83999633789062,1842.699951171875,32990.12109375,4132.14990234375,3930.159912109375
103,2022-06-01,116.29000091552734,1843.300048828125,32813.23046875,4101.22998046875,3974.739990234375
104,2022-06-02,117.61000061035156,1866.5,33248.28125,4176.81982421875,3858.419921875
105,2022-06-03,119.72000122070312,1845.4000244140625,32899.69921875,4108.5400390625,3777.25
106,2022-06-06,119.51000213623048,1839.199951171875,32915.78125,4121.43017578125,3779.610107421875
