Date,USD/COP,USD/EUR,USD/RUB
2020-01-31,3413.25,0.9066900014877319,63.19609832763672
2020-02-29,3500.25,0.9093199968338013,66.26909637451172
2020-03-31,4061.550048828125,0.9065799713134766,79.58920288085938
2020-04-30,3919.0,0.9193500280380249,73.06539916992188
2020-05-31,3698.260009765625,0.9025999903678894,70.50489807128906
2020-06-30,3743.75,0.8891100287437439,69.9729995727539
2020-07-31,3720.35009765625,0.8422999978065491,73.32150268554688
2020-08-31,3743.75,0.8390499949455261,74.13020324707031
2020-09-30,3885.199951171875,0.851639986038208,78.96510314941406
2020-10-31,3859.5,0.8562600016593933,78.83830261230469
2020-11-30,3605.14990234375,0.835319995880127,75.99150085449219
2020-12-31,3420.25,0.8130149841308594,74.52200317382812
2021-01-31,3558.260009765625,0.8250799775123596,76.1666030883789
2021-02-28,3608.699951171875,0.8223400115966797,74.706298828125
2021-03-31,3728.25,0.8529800176620483,75.90399932861328
2021-04-30,3713.360107421875,0.8245999813079834,74.72930145263672
2021-05-31,3706.25,0.8203399777412415,73.1947021484375
2021-06-30,3765.75,0.8402000069618225,72.72239685058594
2021-07-31,3845.85009765625,0.8408309817314148,73.15299987792969
2021-08-31,3815.0,0.8476799726486206,73.41649627685547
2021-09-30,3834.25,0.8619499802589417,72.84590148925781
2021-10-31,3777.75,0.85589998960495,70.14240264892578
2021-11-30,4033.25,0.8854699730873108,74.43920135498047
2021-12-31,4068.25,0.8830000162124634,74.53150177001953
2022-01-31,3912.49755859375,0.8966699838638306,77.73580169677734
2022-02-28,3853.7451171875,0.8943700194358826,83.26100158691406
2022-03-31,3749.389892578125,0.8959100246429443,83.46499633789062
2022-04-30,3971.550048828125,0.9520000219345093,72.71499633789062
2022-05-31,3930.159912109375,0.9282000064849854,64.58989715576172
2022-06-30,4107.52001953125,0.9572499990463257,52.4650993347168
2022-07-31,4373.580078125,0.9811300039291382,62.46500015258789
2022-08-31,4411.919921875,0.9975000023841858,59.96500015258789
2022-09-30,4526.9501953125,1.0173399448394775,57.46500015258789
2022-10-31,4833.259765625,1.004520058631897,61.4900016784668
2022-11-30,4809.33984375,0.9685699939727783,60.810001373291016
2022-12-31,4848.1298828125,0.9380199909210205,73.96499633789062
2023-01-31,4600.43017578125,0.9215999841690063,69.87999725341797
2023-02-28,4777.259765625,0.9423999786376953,74.61499786376953
2023-03-31,4643.25,0.9170399904251099,77.23999786376953
2023-04-30,4654.75,0.9064499735832214,81.81500244140625
2023-05-31,4391.25,0.9316999912261963,79.61000061035156
