Date,JPM,BAC,MS,GS
2021-01-04,125.87000274658203,30.030000686645508,68.33000183105469,265.0
2021-01-05,125.6500015258789,30.260000228881836,69.48999786376953,270.92999267578125
2021-01-06,131.5500030517578,32.150001525878906,73.68000030517578,285.54998779296875
2021-01-07,135.8699951171875,32.86000061035156,74.94000244140625,291.6499938964844
2021-01-08,136.02000427246094,32.529998779296875,75.25,290.0799865722656
2021-01-11,138.0500030517578,33.06999969482422,76.05999755859375,293.8299865722656
2021-01-12,140.22000122070312,33.65999984741211,75.80000305175781,302.2099914550781
2021-01-13,140.35000610351562,33.459999084472656,75.55999755859375,302.94000244140625
2021-01-14,141.1699981689453,33.9900016784668,76.47000122070312,307.8699951171875
2021-01-15,138.63999938964844,33.0099983215332,75.23999786376953,301.010009765625
2021-01-19,138.0399932861328,32.77000045776367,74.98999786376953,294.20001220703125
2021-01-20,135.97000122070312,32.34000015258789,74.83999633789062,290.4700012207031
2021-01-21,134.8300018310547,31.770000457763672,74.69999694824219,289.3699951171875
2021-01-22,133.7899932861328,31.549999237060547,74.12999725341797,289.3900146484375
2021-01-25,132.1199951171875,31.15999984741211,72.37999725341797,283.0400085449219
2021-01-26,131.5800018310547,30.940000534057617,71.20999908447266,281.760009765625
2021-01-27,127.86000061035156,29.829999923706055,68.41999816894531,273.3299865722656
2021-01-28,130.11000061035156,30.31999969482422,69.31999969482422,275.0199890136719
2021-01-29,128.6699981689453,29.649999618530273,67.05000305175781,271.1700134277344
2021-02-01,129.6199951171875,29.959999084472656,67.66999816894531,274.7300109863281
2021-02-02,133.61000061035156,31.030000686645508,70.94999694824219,286.9700012207031
2021-02-03,135.13999938964844,31.579999923706055,70.5999984741211,288.54998779296875
2021-02-04,138.25,32.5,72.29000091552734,293.75
2021-02-05,137.97999572753906,32.369998931884766,73.22000122070312,293.5
2021-02-08,140.13999938964844,33.09000015258789,74.2300033569336,300.1499938964844
2021-02-09,139.5800018310547,32.95000076293945,74.23999786376953,300.4599914550781
2021-02-10,139.66000366210938,32.97999954223633,74.33000183105469,304.2799987792969
2021-02-11,139.27000427246094,32.880001068115234,73.72000122070312,302.32000732421875
2021-02-12,141.25,33.369998931884766,74.61000061035156,306.32000732421875
2021-02-16,144.64999389648438,34.27000045776367,76.05000305175781,311.9599914550781
2021-02-17,145.10000610351562,34.40999984741211,75.44999694824219,312.739990234375
2021-02-18,145.58999633789062,34.189998626708984,74.83000183105469,309.8999938964844
2021-02-19,148.02000427246094,34.540000915527344,76.0,315.6199951171875
2021-02-22,149.41000366210938,35.150001525878906,77.4000015258789,316.8699951171875
2021-02-23,150.61000061035156,35.52000045776367,77.5,319.2099914550781
2021-02-24,153.25999450683594,36.380001068115234,79.87999725341797,330.6400146484375
2021-02-25,151.17999267578125,35.93000030517578,78.43000030517578,327.760009765625
2021-02-26,147.1699981689453,34.709999084472656,76.87000274658203,319.4800109863281
2021-03-01,150.5,35.790000915527344,79.16000366210938,329.9200134277344
2021-03-02,150.00999450683594,35.529998779296875,80.79000091552734,330.94000244140625
2021-03-03,152.91000366210938,36.41999816894531,82.05999755859375,334.42999267578125
2021-03-04,150.55999755859375,36.5,81.11000061035156,329.2900085449219
2021-03-05,150.91000366210938,36.93000030517578,80.87000274658203,327.3699951171875
2021-03-08,152.91000366210938,37.130001068115234,81.0999984741211,334.19000244140625
2021-03-09,151.8300018310547,36.31999969482422,80.8499984741211,330.5899963378906
2021-03-10,155.1300048828125,37.369998931884766,83.08999633789062,342.0199890136719
2021-03-11,154.32000732421875,37.2400016784668,83.25,342.1000061035156
2021-03-12,156.14999389648438,37.939998626708984,84.33999633789062,348.80999755859375
2021-03-15,155.3699951171875,37.75,83.86000061035156,346.04998779296875
2021-03-16,153.50999450683594,37.63999938964844,82.54000091552734,341.7099914550781
2021-03-17,155.08999633789062,37.95000076293945,83.86000061035156,344.95001220703125
2021-03-18,157.64999389648438,38.939998626708984,83.94000244140625,348.0
2021-03-19,155.13999938964844,38.529998779296875,82.94000244140625,344.20001220703125
2021-03-22,150.97000122070312,37.65999984741211,81.91999816894531,339.3299865722656
2021-03-23,149.4600067138672,36.900001525878906,79.12000274658203,331.7699890136719
2021-03-24,150.6199951171875,36.900001525878906,79.33000183105469,328.6499938964844
2021-03-25,152.5500030517578,37.65999984741211,80.12999725341797,330.54998779296875
2021-03-26,155.08999633789062,38.68000030517578,79.9800033569336,327.3900146484375
2021-03-29,152.67999267578125,38.310001373291016,77.87999725341797,325.7300109863281
2021-03-30,154.47999572753906,38.9900016784668,79.08999633789062,332.010009765625
